groupname,overallocation,conflicts,undersupport,unavailable,unpreferred
AlexK,2,0,0,0,3
AlexK,0,0,1,3,0
AlexK,0,0,3,0,1
AlexK,2,1,2,0,0
AlexK,1,0,1,0,2
AlexK,1,0,1,1,1
AlexK,1,0,0,2,1
AlexK,0,0,2,0,2
AlexK,0,0,3,1,0
AlexK,2,1,0,0,2
AlexK,0,0,0,4,0
AlexK,0,0,1,2,1
AlexK,1,0,1,2,0
AlexK,1,0,2,0,1
AlexK,1,0,3,0,0
AlexK,2,1,1,0,1
AlexK,0,0,2,2,0
AlexK,2,1,0,2,0
AlexK,0,0,4,0,0
AlexK,1,0,2,1,0
AlexK,0,0,0,2,2
AlexK,1,0,0,1,2
AlexK,0,0,0,3,1
AlexK,0,0,2,1,1
AlexK,2,1,1,1,0
AlexK,2,1,0,1,1
AlexK,1,0,0,3,0
AlexK,0,0,1,1,2
